device_class,device_name,file_urls,files,firmware_version,release_date,vendor
Repeater,RE605X,https://static.tp-link.com/upload/firmware/2022/202208/20220805/RE605X(EU)_V3_220428.zip,"[{'url': 'https://static.tp-link.com/upload/firmware/2022/202208/20220805/RE605X(EU)_V3_220428.zip', 'path': 'RE605X(EU)_V3_220428.zip', 'checksum': '2a141ac79c33f4e87548d09a24754a56', 'status': 'uptodate'}]",V3,05-08-2022,TP-Link
AP,Deco X55,https://static.tp-link.com/upload/firmware/2022/202205/20220518/Deco_X55(EU)_V1_1.0.0_20220407.zip,"[{'url': 'https://static.tp-link.com/upload/firmware/2022/202205/20220518/Deco_X55(EU)_V1_1.0.0_20220407.zip', 'path': 'Deco_X55(EU)_V1_1.0.0_20220407.zip', 'checksum': '9b055cb8e4ac127a6d8fc5ad381361e8', 'status': 'uptodate'}]",V1,18-05-2022,TP-Link
Router,M7200,https://static.tp-link.com/upload/software/2022/202203/20220304/ISP_21082501.zip,"[{'url': 'https://static.tp-link.com/upload/software/2022/202203/20220304/ISP_21082501.zip', 'path': 'ISP_21082501.zip', 'checksum': '33c073c5b4d78d8c255d1ad5367406a0', 'status': 'uptodate'}]",V3,04-03-2022,TP-Link
AP,Deco X80-5G,https://static.tp-link.com/upload/firmware/2022/202209/20220905/Deco_X80-5G(EU)_V1_20220218.zip,"[{'url': 'https://static.tp-link.com/upload/firmware/2022/202209/20220905/Deco_X80-5G(EU)_V1_20220218.zip', 'path': 'Deco_X80-5G(EU)_V1_20220218.zip', 'checksum': '3378af083a5ca5d0ee7593214d808fb1', 'status': 'uptodate'}]",V1,05-09-2022,TP-Link
Repeater,RE600X,https://static.tp-link.com/upload/firmware/2022/202208/20220805/RE600X(EU)_V3_220428.zip,"[{'url': 'https://static.tp-link.com/upload/firmware/2022/202208/20220805/RE600X(EU)_V3_220428.zip', 'path': 'RE600X(EU)_V3_220428.zip', 'checksum': '54ab74a74f4935799affc711465a9470', 'status': 'uptodate'}]",V3,05-08-2022,TP-Link
Router,M7450,https://static.tp-link.com/rndis_driver_winxp.rar,"[{'url': 'https://static.tp-link.com/rndis_driver_winxp.rar', 'path': 'rndis_driver_winxp.rar', 'checksum': 'd6180e648cce6a4fa6737418ef7d8d85', 'status': 'uptodate'}]",V2,14-07-2017,TP-Link
Router,M7650,https://static.tp-link.com/rndis_driver_winxp.rar,"[{'url': 'https://static.tp-link.com/rndis_driver_winxp.rar', 'path': 'rndis_driver_winxp.rar', 'checksum': 'd6180e648cce6a4fa6737418ef7d8d85', 'status': 'uptodate'}]",V1.10,14-11-2017,TP-Link
Repeater,RE700X,https://static.tp-link.com/upload/firmware/2022/202210/20221017/RE700X_V1_220926.zip,"[{'url': 'https://static.tp-link.com/upload/firmware/2022/202210/20221017/RE700X_V1_220926.zip', 'path': 'RE700X_V1_220926.zip', 'checksum': '5efd8aa99f1ae0778a2e43964c30c824', 'status': 'uptodate'}]",V1,17-10-2022,TP-Link
Repeater,RE500X,https://static.tp-link.com/firmware/2021/202106/20210624/RE500X_V1_210511.zip,"[{'url': 'https://static.tp-link.com/firmware/2021/202106/20210624/RE500X_V1_210511.zip', 'path': 'RE500X_V1_210511.zip', 'checksum': 'c6d22978242b8166c608ed0925f35bff', 'status': 'uptodate'}]",V1,24-06-2021,TP-Link
AP,Deco X20-4G,https://static.tp-link.com/upload/firmware/2022/202202/20220217/Deco_X20-4G_V1_1.0.5_20210708.zip,"[{'url': 'https://static.tp-link.com/upload/firmware/2022/202202/20220217/Deco_X20-4G_V1_1.0.5_20210708.zip', 'path': 'Deco_X20-4G_V1_1.0.5_20210708.zip', 'checksum': 'b9f2f16557f4c3643af0eef75ca4b8b4', 'status': 'uptodate'}]",V1,22-09-2021,TP-Link
